Company,Sector,Year,Risk_Category,Mention_Count,Evidence_Snippet
Tesco PLC,Consumer Staples,2025,Legal & Regulatory Compliance,5,Mock excerpt from Tesco PLC 2025 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Tesco PLC,Consumer Staples,2025,Frontier Signal (Loss of Control),0,
Unilever,Consumer Goods,2021,Societal & Systemic Harms,0,
Unilever,Consumer Goods,2021,Security & Malicious Use,0,
Unilever,Consumer Goods,2021,Workforce & Economic Displacement,0,
Unilever,Consumer Goods,2021,Critical Business & Reliability,0,
Unilever,Consumer Goods,2021,Legal & Regulatory Compliance,0,
Unilever,Consumer Goods,2021,Frontier Signal (Loss of Control),0,
Unilever,Consumer Goods,2022,Societal & Systemic Harms,1,Mock excerpt from Unilever 2022 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Unilever,Consumer Goods,2022,Security & Malicious Use,1,Mock excerpt from Unilever 2022 AR: We recognize the potential for security & malicious use to materially impact operations...
Unilever,Consumer Goods,2022,Workforce & Economic Displacement,2,Mock excerpt from Unilever 2022 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Unilever,Consumer Goods,2022,Critical Business & Reliability,0,
Unilever,Consumer Goods,2022,Legal & Regulatory Compliance,0,
Unilever,Consumer Goods,2022,Frontier Signal (Loss of Control),0,
Unilever,Consumer Goods,2023,Societal & Systemic Harms,3,Mock excerpt from Unilever 2023 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Unilever,Consumer Goods,2023,Security & Malicious Use,4,Mock excerpt from Unilever 2023 AR: We recognize the potential for security & malicious use to materially impact operations...
Unilever,Consumer Goods,2023,Workforce & Economic Displacement,1,Mock excerpt from Unilever 2023 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Unilever,Consumer Goods,2023,Critical Business & Reliability,3,Mock excerpt from Unilever 2023 AR: We recognize the potential for critical business & reliability to materially impact operations...
Unilever,Consumer Goods,2023,Legal & Regulatory Compliance,3,Mock excerpt from Unilever 2023 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Unilever,Consumer Goods,2023,Frontier Signal (Loss of Control),0,
Unilever,Consumer Goods,2024,Societal & Systemic Harms,3,Mock excerpt from Unilever 2024 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Unilever,Consumer Goods,2024,Security & Malicious Use,3,Mock excerpt from Unilever 2024 AR: We recognize the potential for security & malicious use to materially impact operations...
Unilever,Consumer Goods,2024,Workforce & Economic Displacement,0,
Unilever,Consumer Goods,2024,Critical Business & Reliability,3,Mock excerpt from Unilever 2024 AR: We recognize the potential for critical business & reliability to materially impact operations...
Unilever,Consumer Goods,2024,Legal & Regulatory Compliance,3,Mock excerpt from Unilever 2024 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Unilever,Consumer Goods,2024,Frontier Signal (Loss of Control),0,
Unilever,Consumer Goods,2025,Societal & Systemic Harms,5,Mock excerpt from Unilever 2025 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Unilever,Consumer Goods,2025,Security & Malicious Use,1,Mock excerpt from Unilever 2025 AR: We recognize the potential for security & malicious use to materially impact operations...
Unilever,Consumer Goods,2025,Workforce & Economic Displacement,8,Mock excerpt from Unilever 2025 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Unilever,Consumer Goods,2025,Critical Business & Reliability,2,Mock excerpt from Unilever 2025 AR: We recognize the potential for critical business & reliability to materially impact operations...
Unilever,Consumer Goods,2025,Legal & Regulatory Compliance,6,Mock excerpt from Unilever 2025 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Unilever,Consumer Goods,2025,Frontier Signal (Loss of Control),0,
AstraZeneca,Healthcare,2021,Societal & Systemic Harms,1,Mock excerpt from AstraZeneca 2021 AR: We recognize the potential for societal & systemic harms to materially impact operations...
AstraZeneca,Healthcare,2021,Security & Malicious Use,0,
AstraZeneca,Healthcare,2021,Workforce & Economic Displacement,0,
AstraZeneca,Healthcare,2021,Critical Business & Reliability,0,
AstraZeneca,Healthcare,2021,Legal & Regulatory Compliance,0,
AstraZeneca,Healthcare,2021,Frontier Signal (Loss of Control),0,
AstraZeneca,Healthcare,2022,Societal & Systemic Harms,0,
AstraZeneca,Healthcare,2022,Security & Malicious Use,0,
AstraZeneca,Healthcare,2022,Workforce & Economic Displacement,0,
AstraZeneca,Healthcare,2022,Critical Business & Reliability,0,
AstraZeneca,Healthcare,2022,Legal & Regulatory Compliance,0,
AstraZeneca,Healthcare,2022,Frontier Signal (Loss of Control),0,
AstraZeneca,Healthcare,2023,Societal & Systemic Harms,0,
AstraZeneca,Healthcare,2023,Security & Malicious Use,2,Mock excerpt from AstraZeneca 2023 AR: We recognize the potential for security & malicious use to materially impact operations...
AstraZeneca,Healthcare,2023,Workforce & Economic Displacement,3,Mock excerpt from AstraZeneca 2023 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
AstraZeneca,Healthcare,2023,Critical Business & Reliability,6,Mock excerpt from AstraZeneca 2023 AR: We recognize the potential for critical business & reliability to materially impact operations...
AstraZeneca,Healthcare,2023,Legal & Regulatory Compliance,5,Mock excerpt from AstraZeneca 2023 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
AstraZeneca,Healthcare,2023,Frontier Signal (Loss of Control),0,
AstraZeneca,Healthcare,2024,Societal & Systemic Harms,2,Mock excerpt from AstraZeneca 2024 AR: We recognize the potential for societal & systemic harms to materially impact operations...
AstraZeneca,Healthcare,2024,Security & Malicious Use,8,Mock excerpt from AstraZeneca 2024 AR: We recognize the potential for security & malicious use to materially impact operations...
AstraZeneca,Healthcare,2024,Workforce & Economic Displacement,2,Mock excerpt from AstraZeneca 2024 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
AstraZeneca,Healthcare,2024,Critical Business & Reliability,5,Mock excerpt from AstraZeneca 2024 AR: We recognize the potential for critical business & reliability to materially impact operations...
AstraZeneca,Healthcare,2024,Legal & Regulatory Compliance,4,Mock excerpt from AstraZeneca 2024 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
AstraZeneca,Healthcare,2024,Frontier Signal (Loss of Control),1,Mock excerpt from AstraZeneca 2024 AR: We recognize the potential for frontier signal (loss of control) to materially impact operations...
AstraZeneca,Healthcare,2025,Societal & Systemic Harms,4,Mock excerpt from AstraZeneca 2025 AR: We recognize the potential for societal & systemic harms to materially impact operations...
AstraZeneca,Healthcare,2025,Security & Malicious Use,5,Mock excerpt from AstraZeneca 2025 AR: We recognize the potential for security & malicious use to materially impact operations...
AstraZeneca,Healthcare,2025,Workforce & Economic Displacement,0,
AstraZeneca,Healthcare,2025,Critical Business & Reliability,7,Mock excerpt from AstraZeneca 2025 AR: We recognize the potential for critical business & reliability to materially impact operations...
AstraZeneca,Healthcare,2025,Legal & Regulatory Compliance,6,Mock excerpt from AstraZeneca 2025 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
AstraZeneca,Healthcare,2025,Frontier Signal (Loss of Control),0,
GSK,Healthcare,2021,Societal & Systemic Harms,0,
GSK,Healthcare,2021,Security & Malicious Use,0,
GSK,Healthcare,2021,Workforce & Economic Displacement,0,
GSK,Healthcare,2021,Critical Business & Reliability,0,
GSK,Healthcare,2021,Legal & Regulatory Compliance,0,
GSK,Healthcare,2021,Frontier Signal (Loss of Control),0,
GSK,Healthcare,2022,Societal & Systemic Harms,0,
GSK,Healthcare,2022,Security & Malicious Use,2,Mock excerpt from GSK 2022 AR: We recognize the potential for security & malicious use to materially impact operations...
GSK,Healthcare,2022,Workforce & Economic Displacement,1,Mock excerpt from GSK 2022 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
GSK,Healthcare,2022,Critical Business & Reliability,1,Mock excerpt from GSK 2022 AR: We recognize the potential for critical business & reliability to materially impact operations...
GSK,Healthcare,2022,Legal & Regulatory Compliance,1,Mock excerpt from GSK 2022 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
GSK,Healthcare,2022,Frontier Signal (Loss of Control),0,
GSK,Healthcare,2023,Societal & Systemic Harms,1,Mock excerpt from GSK 2023 AR: We recognize the potential for societal & systemic harms to materially impact operations...
GSK,Healthcare,2023,Security & Malicious Use,2,Mock excerpt from GSK 2023 AR: We recognize the potential for security & malicious use to materially impact operations...
GSK,Healthcare,2023,Workforce & Economic Displacement,4,Mock excerpt from GSK 2023 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
GSK,Healthcare,2023,Critical Business & Reliability,6,Mock excerpt from GSK 2023 AR: We recognize the potential for critical business & reliability to materially impact operations...
GSK,Healthcare,2023,Legal & Regulatory Compliance,3,Mock excerpt from GSK 2023 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
GSK,Healthcare,2023,Frontier Signal (Loss of Control),0,
GSK,Healthcare,2024,Societal & Systemic Harms,2,Mock excerpt from GSK 2024 AR: We recognize the potential for societal & systemic harms to materially impact operations...
GSK,Healthcare,2024,Security & Malicious Use,3,Mock excerpt from GSK 2024 AR: We recognize the potential for security & malicious use to materially impact operations...
GSK,Healthcare,2024,Workforce & Economic Displacement,4,Mock excerpt from GSK 2024 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
GSK,Healthcare,2024,Critical Business & Reliability,5,Mock excerpt from GSK 2024 AR: We recognize the potential for critical business & reliability to materially impact operations...
GSK,Healthcare,2024,Legal & Regulatory Compliance,2,Mock excerpt from GSK 2024 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
GSK,Healthcare,2024,Frontier Signal (Loss of Control),0,
GSK,Healthcare,2025,Societal & Systemic Harms,4,Mock excerpt from GSK 2025 AR: We recognize the potential for societal & systemic harms to materially impact operations...
GSK,Healthcare,2025,Security & Malicious Use,7,Mock excerpt from GSK 2025 AR: We recognize the potential for security & malicious use to materially impact operations...
GSK,Healthcare,2025,Workforce & Economic Displacement,4,Mock excerpt from GSK 2025 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
GSK,Healthcare,2025,Critical Business & Reliability,11,Mock excerpt from GSK 2025 AR: We recognize the potential for critical business & reliability to materially impact operations...
GSK,Healthcare,2025,Legal & Regulatory Compliance,4,Mock excerpt from GSK 2025 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
GSK,Healthcare,2025,Frontier Signal (Loss of Control),0,
BP p.l.c.,Energy,2021,Societal & Systemic Harms,0,
BP p.l.c.,Energy,2021,Security & Malicious Use,0,
BP p.l.c.,Energy,2021,Workforce & Economic Displacement,0,
BP p.l.c.,Energy,2021,Critical Business & Reliability,1,Mock excerpt from BP p.l.c. 2021 AR: We recognize the potential for critical business & reliability to materially impact operations...
BP p.l.c.,Energy,2021,Legal & Regulatory Compliance,1,Mock excerpt from BP p.l.c. 2021 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
BP p.l.c.,Energy,2021,Frontier Signal (Loss of Control),0,
BP p.l.c.,Energy,2022,Societal & Systemic Harms,1,Mock excerpt from BP p.l.c. 2022 AR: We recognize the potential for societal & systemic harms to materially impact operations...
BP p.l.c.,Energy,2022,Security & Malicious Use,0,
BP p.l.c.,Energy,2022,Workforce & Economic Displacement,2,Mock excerpt from BP p.l.c. 2022 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
BP p.l.c.,Energy,2022,Critical Business & Reliability,2,Mock excerpt from BP p.l.c. 2022 AR: We recognize the potential for critical business & reliability to materially impact operations...
BP p.l.c.,Energy,2022,Legal & Regulatory Compliance,1,Mock excerpt from BP p.l.c. 2022 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
BP p.l.c.,Energy,2022,Frontier Signal (Loss of Control),0,
BP p.l.c.,Energy,2023,Societal & Systemic Harms,3,Mock excerpt from BP p.l.c. 2023 AR: We recognize the potential for societal & systemic harms to materially impact operations...
BP p.l.c.,Energy,2023,Security & Malicious Use,1,Mock excerpt from BP p.l.c. 2023 AR: We recognize the potential for security & malicious use to materially impact operations...
BP p.l.c.,Energy,2023,Workforce & Economic Displacement,4,Mock excerpt from BP p.l.c. 2023 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
BP p.l.c.,Energy,2023,Critical Business & Reliability,4,Mock excerpt from BP p.l.c. 2023 AR: We recognize the potential for critical business & reliability to materially impact operations...
BP p.l.c.,Energy,2023,Legal & Regulatory Compliance,3,Mock excerpt from BP p.l.c. 2023 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
BP p.l.c.,Energy,2023,Frontier Signal (Loss of Control),0,
BP p.l.c.,Energy,2024,Societal & Systemic Harms,5,Mock excerpt from BP p.l.c. 2024 AR: We recognize the potential for societal & systemic harms to materially impact operations...
BP p.l.c.,Energy,2024,Security & Malicious Use,5,Mock excerpt from BP p.l.c. 2024 AR: We recognize the potential for security & malicious use to materially impact operations...
BP p.l.c.,Energy,2024,Workforce & Economic Displacement,4,Mock excerpt from BP p.l.c. 2024 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
BP p.l.c.,Energy,2024,Critical Business & Reliability,10,Mock excerpt from BP p.l.c. 2024 AR: We recognize the potential for critical business & reliability to materially impact operations...
BP p.l.c.,Energy,2024,Legal & Regulatory Compliance,9,Mock excerpt from BP p.l.c. 2024 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
BP p.l.c.,Energy,2024,Frontier Signal (Loss of Control),0,
BP p.l.c.,Energy,2025,Societal & Systemic Harms,3,Mock excerpt from BP p.l.c. 2025 AR: We recognize the potential for societal & systemic harms to materially impact operations...
BP p.l.c.,Energy,2025,Security & Malicious Use,8,Mock excerpt from BP p.l.c. 2025 AR: We recognize the potential for security & malicious use to materially impact operations...
BP p.l.c.,Energy,2025,Workforce & Economic Displacement,5,Mock excerpt from BP p.l.c. 2025 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
BP p.l.c.,Energy,2025,Critical Business & Reliability,5,Mock excerpt from BP p.l.c. 2025 AR: We recognize the potential for critical business & reliability to materially impact operations...
BP p.l.c.,Energy,2025,Legal & Regulatory Compliance,10,Mock excerpt from BP p.l.c. 2025 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
BP p.l.c.,Energy,2025,Frontier Signal (Loss of Control),0,
Pearson,Consumer Discretionary,2021,Societal & Systemic Harms,2,Mock excerpt from Pearson 2021 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Pearson,Consumer Discretionary,2021,Security & Malicious Use,0,
Pearson,Consumer Discretionary,2021,Workforce & Economic Displacement,1,Mock excerpt from Pearson 2021 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Pearson,Consumer Discretionary,2021,Critical Business & Reliability,1,Mock excerpt from Pearson 2021 AR: We recognize the potential for critical business & reliability to materially impact operations...
Pearson,Consumer Discretionary,2021,Legal & Regulatory Compliance,1,Mock excerpt from Pearson 2021 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Pearson,Consumer Discretionary,2021,Frontier Signal (Loss of Control),0,
Pearson,Consumer Discretionary,2022,Societal & Systemic Harms,0,
Pearson,Consumer Discretionary,2022,Security & Malicious Use,2,Mock excerpt from Pearson 2022 AR: We recognize the potential for security & malicious use to materially impact operations...
Pearson,Consumer Discretionary,2022,Workforce & Economic Displacement,0,
Pearson,Consumer Discretionary,2022,Critical Business & Reliability,1,Mock excerpt from Pearson 2022 AR: We recognize the potential for critical business & reliability to materially impact operations...
Pearson,Consumer Discretionary,2022,Legal & Regulatory Compliance,2,Mock excerpt from Pearson 2022 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Pearson,Consumer Discretionary,2022,Frontier Signal (Loss of Control),0,
Pearson,Consumer Discretionary,2023,Societal & Systemic Harms,6,Mock excerpt from Pearson 2023 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Pearson,Consumer Discretionary,2023,Security & Malicious Use,4,Mock excerpt from Pearson 2023 AR: We recognize the potential for security & malicious use to materially impact operations...
Pearson,Consumer Discretionary,2023,Workforce & Economic Displacement,4,Mock excerpt from Pearson 2023 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Pearson,Consumer Discretionary,2023,Critical Business & Reliability,7,Mock excerpt from Pearson 2023 AR: We recognize the potential for critical business & reliability to materially impact operations...
Pearson,Consumer Discretionary,2023,Legal & Regulatory Compliance,9,Mock excerpt from Pearson 2023 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Pearson,Consumer Discretionary,2023,Frontier Signal (Loss of Control),2,Mock excerpt from Pearson 2023 AR: We recognize the potential for frontier signal (loss of control) to materially impact operations...
Pearson,Consumer Discretionary,2024,Societal & Systemic Harms,5,Mock excerpt from Pearson 2024 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Pearson,Consumer Discretionary,2024,Security & Malicious Use,8,Mock excerpt from Pearson 2024 AR: We recognize the potential for security & malicious use to materially impact operations...
Pearson,Consumer Discretionary,2024,Workforce & Economic Displacement,6,Mock excerpt from Pearson 2024 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
